"Step","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
50,-42245.1906163,-41352.5811352,30.686327627,63.99040032,0.467511791659
100,-41492.7196908,-39901.9817894,54.6867420134,63.99040032,0.467511791659
150,-40824.5297486,-38577.1800247,77.2598895503,63.99040032,0.467511791659
200,-40223.3833731,-37382.8114072,97.6538159632,63.99040032,0.467511791659
250,-39692.3569953,-36256.6544234,118.11334854,63.99040032,0.467511791659
300,-39038.1936918,-35089.2589551,135.757358255,63.99040032,0.467511791659
350,-38545.3518248,-34188.0253689,149.797139771,63.99040032,0.467511791659
400,-38044.783928,-33244.6243538,165.020955384,63.99040032,0.467511791659
450,-37700.1319667,-32502.6827202,178.679068259,63.99040032,0.467511791659
500,-37361.5850525,-31856.9961029,189.237985407,63.99040032,0.467511791659
550,-36929.9565242,-31176.7635408,197.784550275,63.99040032,0.467511791659
600,-36646.139045,-30519.5110298,210.622583003,63.99040032,0.467511791659
650,-36428.9368429,-30048.62224,219.343877042,63.99040032,0.467511791659
700,-36048.9313305,-29499.3417087,225.163251356,63.99040032,0.467511791659
750,-35834.8209627,-29103.8744973,231.397977337,63.99040032,0.467511791659
800,-35480.6019546,-28689.7527092,233.457328454,63.99040032,0.467511791659
850,-35487.8287307,-28409.0662899,243.355272435,63.99040032,0.467511791659
900,-35171.2388879,-28092.4199917,243.357213272,63.99040032,0.467511791659
950,-35155.1732737,-27761.4931642,254.181582218,63.99040032,0.467511791659
1000,-35029.8790248,-27437.9256401,260.99786505,63.99040032,0.467511791659
1050,-34893.596496,-27083.3028265,268.504016013,63.99040032,0.467511791659
1100,-34559.7656972,-26778.7174206,267.498611376,63.99040032,0.467511791659
1150,-34273.029527,-26565.5315516,264.970082732,63.99040032,0.467511791659
1200,-34384.0914207,-26305.0871054,277.741810463,63.99040032,0.467511791659
1250,-34421.667281,-26082.8567354,286.673486939,63.99040032,0.467511791659
1300,-33969.3110896,-25898.4869819,277.460589466,63.99040032,0.467511791659
1350,-33979.5890295,-25624.0453459,287.248742485,63.99040032,0.467511791659
1400,-33638.0045769,-25400.6815152,283.184527601,63.99040032,0.467511791659
1450,-33680.1597524,-25305.5803455,287.903156823,63.99040032,0.467511791659
1500,-33641.0981141,-25340.4968438,285.359919961,63.99040032,0.467511791659
1550,-33616.7006215,-25358.3818476,283.906322876,63.99040032,0.467511791659
1600,-33565.3468812,-25325.7193998,283.263749459,63.99040032,0.467511791659
1650,-33736.7058333,-25152.6208056,295.105587735,63.99040032,0.467511791659
1700,-33500.9349782,-25069.7098399,289.850536397,63.99040032,0.467511791659
1750,-33468.0332398,-25067.9837361,288.778773485,63.99040032,0.467511791659
1800,-33778.2766276,-25306.1320082,291.257275436,63.99040032,0.467511791659
1850,-33814.7968465,-25175.6753537,296.997643595,63.99040032,0.467511791659
1900,-33851.7101799,-25109.6822449,300.535384193,63.99040032,0.467511791659
1950,-33610.6457626,-25029.5582795,295.002537479,63.99040032,0.467511791659
2000,-33641.6751609,-25191.5591116,290.499972344,63.99040032,0.467511791659
2050,-33684.9359587,-25129.5415212,294.119256229,63.99040032,0.467511791659
2100,-33823.054211,-25170.3411097,297.46489894,63.99040032,0.467511791659
2150,-33755.6138557,-25049.9031805,299.286861343,63.99040032,0.467511791659
2200,-33678.3792728,-25046.2774276,296.756320585,63.99040032,0.467511791659
2250,-33571.428716,-24986.2259247,295.144014461,63.99040032,0.467511791659
2300,-33543.2097001,-24853.7640642,298.727698198,63.99040032,0.467511791659
2350,-33555.0193886,-24743.934106,302.909453078,63.99040032,0.467511791659
2400,-33690.9044743,-24734.7799847,307.895643252,63.99040032,0.467511791659
2450,-33663.5890223,-24735.218807,306.941500625,63.99040032,0.467511791659
2500,-33463.0946599,-24819.8943509,297.137866047,63.99040032,0.467511791659
2550,-33580.1138318,-24797.9977134,301.913544695,63.99040032,0.467511791659
2600,-33677.2422816,-24948.3579631,300.083530019,63.99040032,0.467511791659
2650,-33762.1913791,-24942.1519184,303.217281805,63.99040032,0.467511791659
2700,-33648.432899,-25018.5262623,296.68085322,63.99040032,0.467511791659
2750,-33559.8007995,-24884.203006,298.25163399,63.99040032,0.467511791659
2800,-33630.1007514,-24924.1789242,299.294120374,63.99040032,0.467511791659
2850,-33555.8240413,-24818.5945467,300.370422339,63.99040032,0.467511791659
2900,-33617.9072771,-24704.7247271,306.419375683,63.99040032,0.467511791659
2950,-33643.3581545,-24829.2591281,303.013060234,63.99040032,0.467511791659
3000,-33748.7763266,-24734.6967012,309.888037822,63.99040032,0.467511791659
3050,-33644.0066917,-24890.5103579,300.929647364,63.99040032,0.467511791659
3100,-33927.7377159,-24806.0117657,313.58872716,63.99040032,0.467511791659
3150,-33769.920209,-24834.0109513,307.200679507,63.99040032,0.467511791659
3200,-33858.8930971,-24991.9417908,304.830027684,63.99040032,0.467511791659
3250,-33629.6677393,-24917.0443044,299.524509739,63.99040032,0.467511791659
3300,-33849.1000975,-25043.1836444,302.731757902,63.99040032,0.467511791659
3350,-33678.1151917,-24862.7073469,303.058055083,63.99040032,0.467511791659
3400,-33877.7765059,-24985.7678341,305.691455381,63.99040032,0.467511791659
3450,-33582.213191,-24813.7688182,301.443534377,63.99040032,0.467511791659
3500,-33790.734051,-24789.6341513,309.441817919,63.99040032,0.467511791659
3550,-33449.7471803,-24862.9554683,295.198638732,63.99040032,0.467511791659
3600,-33698.8285514,-24928.1944807,301.5188123,63.99040032,0.467511791659
3650,-33885.7510083,-25006.2561274,305.261253489,63.99040032,0.467511791659
3700,-33828.8253922,-24983.9598702,304.070757675,63.99040032,0.467511791659
3750,-33998.3559321,-25028.4853186,308.36821056,63.99040032,0.467511791659
3800,-34057.7710154,-25041.5037624,309.963244572,63.99040032,0.467511791659
3850,-34001.8073803,-25174.2821827,303.474628134,63.99040032,0.467511791659
3900,-34026.1659222,-25076.094891,307.68753611,63.99040032,0.467511791659
3950,-34159.8278521,-25159.5764001,309.412649797,63.99040032,0.467511791659
4000,-34007.7759875,-25173.2466385,303.715418415,63.99040032,0.467511791659
4050,-33943.0659815,-25179.9241244,301.261243313,63.99040032,0.467511791659
4100,-34115.9995437,-25024.3552011,312.554574954,63.99040032,0.467511791659
4150,-34171.2183153,-25154.8309416,309.96737411,63.99040032,0.467511791659
4200,-33813.8839856,-25243.7961105,294.624390504,63.99040032,0.467511791659
4250,-33957.8978866,-25296.6864038,297.757058193,63.99040032,0.467511791659
4300,-33978.9083962,-25412.1557584,294.509730972,63.99040032,0.467511791659
4350,-34101.5226966,-25425.4848225,298.266763176,63.99040032,0.467511791659
4400,-34483.2390727,-25525.1992176,307.961490111,63.99040032,0.467511791659
4450,-34535.6813484,-25552.4134204,308.828786424,63.99040032,0.467511791659
4500,-34555.5058492,-25769.8115387,302.036556579,63.99040032,0.467511791659
4550,-34424.0519107,-25754.863188,298.031301522,63.99040032,0.467511791659
4600,-34453.8247157,-25799.879613,297.50725296,63.99040032,0.467511791659
4650,-34709.6373911,-25825.5121716,305.420436301,63.99040032,0.467511791659
4700,-34664.1125692,-25915.8892798,300.748369467,63.99040032,0.467511791659
4750,-34683.8962066,-25867.1484235,303.104119782,63.99040032,0.467511791659
4800,-34417.6104692,-25753.6772699,297.850625971,63.99040032,0.467511791659
4850,-34620.7058761,-25885.150815,300.312858292,63.99040032,0.467511791659
4900,-34822.8360392,-25927.3742351,305.810167933,63.99040032,0.467511791659
4950,-34641.8219247,-25941.0958736,299.115498824,63.99040032,0.467511791659
5000,-34542.9079455,-25858.4466729,298.556344646,63.99040032,0.467511791659
5050,-34555.5005376,-25867.7023633,298.671061397,63.99040032,0.467511791659
5100,-34907.4101326,-25979.7162237,306.918250413,63.99040032,0.467511791659
5150,-34808.6755924,-25951.557331,304.491985078,63.99040032,0.467511791659
5200,-34766.014922,-26015.121879,300.840150852,63.99040032,0.467511791659
5250,-34691.992435,-26087.885987,295.793888584,63.99040032,0.467511791659
5300,-34932.9818087,-26249.3260856,298.528651287,63.99040032,0.467511791659
5350,-34968.9317351,-26193.4842297,301.68428963,63.99040032,0.467511791659
